model,Precision@10,Recall@10,HitRate@10,NDCG@10,NDCG@10_ci95,MRR,Coverage,Novelty,n_users_eval
MatrixFactorization(TruncatedSVD),0.10087209302325582,0.1078835175354993,0.48255813953488375,0.13764703595283895,0.021511952926514737,0.2399640088593577,0.135,2.353925262258245,344
MostPopular,0.05755813953488372,0.05861690750692936,0.35174418604651164,0.07493902014886587,0.01425103012158818,0.15143272425249169,0.027,1.5090131983843977,344
BayesianAvg(IMDb),0.03808139534883721,0.04465309678986887,0.2616279069767442,0.05768758623378979,0.013378710606565909,0.12494808970099668,0.014666666666666666,2.38317224050473,344
ItemItemCF(k=10),0.03023255813953489,0.03734937312649496,0.2703488372093023,0.03726636280809437,0.007989158006267512,0.0819329088224437,0.41,4.3558357886491255,344
HighestAvg(min20),0.014244186046511629,0.01636412979066718,0.125,0.01603773697106427,0.005449119594362916,0.03093623108157992,0.006333333333333333,5.717584017512833,344
UserUserCF(k=40),0.011046511627906977,0.015066319591623484,0.09593023255813954,0.01313528569264434,0.004927437080280171,0.02656423034330011,0.5016666666666667,4.958039172154212,344
ContentBased(TF-IDF),0.002325581395348837,0.0025876297691812817,0.020348837209302327,0.0031579425793198585,0.002785988564213541,0.006499169435215947,0.09133333333333334,12.50946592567171,344
ContentBased(raw genres),0.000872093023255814,0.0009197653691497741,0.00872093023255814,0.0007939503196119419,0.0009370731408364246,0.0015053986710963454,0.07366666666666667,12.657200119098368,344
Random,0.0,0.0,0.0,0.0,0.0,0.0,0.03166666666666667,13.066089747636715,344
