model,param,value,NDCG@10,Coverage
ItemItemCF,k,10,0.043047384235991616,0.37166666666666665
ItemItemCF,k,20,0.019332060922439893,0.37766666666666665
ItemItemCF,k,30,0.013939231603912312,0.367
ItemItemCF,k,50,0.010259252829083314,0.3486666666666667
ItemItemCF,k,80,0.004853918833202812,0.33366666666666667
MatrixFactorization,n_factors,10,0.2833807729136842,0.07833333333333334
MatrixFactorization,n_factors,20,0.32869302070857714,0.10666666666666667
MatrixFactorization,n_factors,50,0.30494056551910564,0.151
MatrixFactorization,n_factors,100,0.2765045826443463,0.18433333333333332
MatrixFactorization,n_factors,150,0.23811567723776814,0.21766666666666667
